datasetid,title,description,theme,keywords,license,license_url,languages,metadata_languages,timezone,modified,modified_updates_on_metadata_change,modified_updates_on_data_change,data_processed,metadata_processed,geographic_reference,geographic_reference_auto,territory,geometry_types,publisher,refs,records_count,attributions,federated,cycle,periodicity,is_finalzed
bornes-de-recharge-pour-vehicules-electriques,Bornes de recharge pour véhicules électriques,"<p>Ce jeu de données présente les données relatives à la localisation géographique et aux caractéristiques techniques des stations et des points de recharge ouverts au public pour véhicules électriques. </p>
<p>
Les données sont collectées via  <a href=""https://demarches.gouv.nc/recharge-vehicule-electrique"" target=""_blank""> ce formulaire en ligne </a> selon la <a href=""https://dimenc.gouv.nc/sites/default/files/documents/D%C3%A9lib%C3%A9ration_0.pdf"" target=""_blank"">délibération n° 143 du 23/04/2021</a> relative aux infrastructures de recharge ouvertes au public pour véhicules électriques et l'arrêté correspondant <a href=""https://dimenc.gouv.nc/sites/default/files/documents/Arr%C3%AAt%C3%A9.pdf"" target=""_blank"">n°2021-2233 du 08/12/2021</a>.

</p>
<p>Pour plus d'informations: <a href=""https://dimenc.gouv.nc/energie/efficacite-energetique/transport-et-ecomobilite"" target=""_blank"">https://dimenc.gouv.nc/energie/efficacite-energetique/transport-et-ecomobilite</a> </p>
<p><b><u>Fréquence de mise à jour :</u> Journalière</b></p><br/> ","Transport, Mobility","vehicule,electrique,borne,energie,DIMENC,recharge,infrastructure,IRVE,declaration,exploitation",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-09-20 18:00:05,false,true,2023-09-20 18:00:05,2023-09-20 18:00:05.437,world,true,World,Point,Gouvernement de la Nouvelle-Calédonie,https://dimenc.gouv.nc/energie/le-schema-pour-la-transition-energetique-de-la-nouvelle-caledonie-stenc,42,"Direction de l'Industrie, des Mines et de l'Energie (DIMENC)",false,,,false
referentiel-douanier-conditions-de-paiement-untoptab,Référentiel douanier - Conditions de paiement (untoptab),"<p>Ce jeu de données présente la liste des conditions de paiement; il fait partie du référentiel douanier de la Direction Régionale des Douanes de Nouvelle-Calédonie.</p>

<p><b><u>Fréquence de mise à jour :</u> Mensuelle</b></p>","Institutions, Administrations","douane,paiement",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-08-31 22:00:30,true,true,2023-08-31 22:00:30,2023-08-31 22:00:30.878,,false,,,Gouvernement de la Nouvelle-Calédonie,https://douane.gouv.nc/le-tarif-douanier/generalites,24,Direction Régionale des Douanes (DRDNC),false,,,false
icpe-province-sud,Installations classées pour la protection de l’environnement (ICPE) de la Province Sud,"<p>Ce jeu de données présente Installations classées pour la protection de l’environnement (ICPE) de la Province Sud.</p><p>Une Installation Classée pour la Protection de l’Environnement (ICPE) est une activité fixe à caractère industriel ou agricole susceptible de provoquer des pollutions, des nuisances ou des risques, notamment pour la sécurité, la santé des riverains et/ou l’environnement.</p><p>Les activités relevant de la réglementation des installations classées sont énumérées dans une nomenclature qui les soumet à différents régimes administratifs (autorisation, autorisation simplifiée ou déclaration) déterminés en fonction de seuils de capacité ou d’activités selon l’importance des risques ou des inconvénients qui peuvent être engendrés.<br/></p><p>Dans une volonté de transparence, la Province met à disposition de la population la consultation de la documentation relative à l’ensemble des Installations Classées pour la Protection de l’Environnement (ICPE) en province Sud. La recherche se fait par nom ou sigle de l’exploitant, numéro de RIDET, nom de l’installation, commune ou rubrique de la nomenclature ICPE.<br/></p><p>Pour plus d'informations: <a href=""https://www.province-sud.nc/element-thematique/installations-classees-pour-protection-lenvironnement-icpe"" target=""_blank"">https://www.province-sud.nc/element-thematique/installations-classees-pour-protection-lenvironnement-icpe</a></p>","Energy, Mining, Industry,Environment, Climate","icpe,installation,classe,protection,environnement,industriel,agricole,pollution,nuisance,risque,securite,sante,riverain",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-09-21 09:10:09,false,true,2023-09-21 09:10:09,2023-09-21 09:10:09.751,world,true,World,Point,Province Sud,https://www.province-sud.nc/searchweb/searchweb/DocSolr?classNaturalName=ICPE&limit=2000&page=0&start=0&_responseMode=json,1950,Province Sud,false,,,false
atlas-equipements-publics-serail,Atlas des équipements publics (ATLAS),"<p>Les informations mises à disposition correspondent à la localisation (type ponctuel) des équipements publics du grand Nouméa.
Ces équipements sont regroupés en 9 familles principales : Enseignement, Sport, Administration, Justice et Sécurité, Culture et Socio-éducatif, Sanitaire et Social, Transport et Déchet, Culte.</p>
<p>Le GIE propose 2 jeux de données en téléchargement qui restent la propriété exclusive du GIE SERAIL.
Ils sont partagés sous <a href=""https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"" target=""_blank"">Licence Ouverte ETALAB 2.0</a> et soumis à des Conditions Générales d'Utilisation (CGU).
Cette licence implique l'acceptation des CGU et notamment l'obligation de mentionner la source et le logo du GIE.
Nous vous invitons à consulter et télécharger au format pdf la <a href=""https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf"" target=""_blank"">« Licence Ouverte / Open Licence » ETALAB Version 2.0»</a> (avril 2017).
<br/>Vous trouverez la licence, les CGU, la description des données et le logo du GIE dans les fichiers de téléchargement.
</p>
<p>
Ces jeux de données sont proposés sous forme de fichiers csv et shapefile (système de coordonnées : RGNC 1991-93 Lambert Nouvelle-Calédonie).
</p>
<p>
Merci de nous faire remonter les adresses mal positionnées, les erreurs de libellés, des localisations absentes, des informations complémentaires, et toutes améliorations des données.</p>
<br/>
<p>
Créé en 1994, le GIE SERAIL (Système d'Exploitation, de Répartition et d'Administration des Informations Localisées) a pour objectif de gérer, concentrer et répartir, pour le compte de ses membres et sur son territoire de compétence, des informations géographiques numérisées concernant le sol et le sous-sol des zones urbanisées, notamment les réseaux d'eau, d'assainissement, d'électricité et de téléphone, associés au cadastre, et à des éléments de topographie et de toponymie (en particulier tracé et nom des voies publiques, et adressage dans ces voies).
</p>Vous trouverez plus d'informations sur le GIE SERAIL <a href=""https://www.serail.nc/"" target=""_blank"">ici</a>.","Territory Development, Infrastructure, Territory","equipement,public,grand noumea,aeroport,aerodrome,apprentissage,aquarium,zoo,structure,scolaire,bibliotheque,mediatheque,boulodrome,police,caserne,cathedrale,centre,culturel,formation,secours,pompier,dechet,tri,funeraire,hopital,hospitalier,medical,penitentiaire,prison,chapelle,paroisse,cimetiere,clinique,hippodrome,hippique,college,segpa,commissariat,complexe,sportif,consulat,creche,garderie,crematorium,dispensaire,douane,ecole,eglise,synagogue,mosquee,organisme,fourriere,foyer,gare,bus,gendarmerie,internat,delegation,golf,gymnase,dechets,jardin,local,lycee,maison de quartier,maison de retraite,quartier,traitement,marche,marche,marina,port,palais,justice,parc,jeux,piscine,velodrome,piste cyclable,plage,ponton,gare maritime,quai,quai d'apport volontaire,mise a l'eau,concert,salle,sport,square,stage,tennis,terrain,theatre,tribunal,universite,paita,dumbea,mont-dore,montdore,paita",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-09-21 08:00:08,false,true,2023-09-21 08:00:08,2023-09-21 08:00:08.391,world,true,World,Point,GIE SERAIL,https://www.serail.nc/SERAIL/SITEWEB/FICHIERS/OPEN_ATLAS_GDN_SRA_SHP.zip,1270,GIE SERAIL,false,,,false
catalogue-outils-sensibilisation-eau,"Catalogue des outils pédagogiques et de sensibilisation ""Eau""","<p>La Politique de l'Eau Partagée, votée en 2019, vise à faire de tous les Calédoniens des hydro-écocitoyens (objectif stratégique 3).    </p><p>Le présent jeu de données est un catalogue des outils de sensibilisation ""Eau"" qui existent en Nouvelle-Calédonie, afin de permettre leur réutilisation par le plus grand nombre.</p><p>Ainsi, si vous êtes à la recherche d'un outil spécifique pour une animation ou une intervention pédagogique, vous trouverez dans ce catalogue les outils qui existent en Nouvelle-Calédonie et le propriétaire des outils à contacter si nécessaire. </p><p>La dataviz réalisée par l'équipe Open Data NC est disponible ici: <a href=""https://data.gouv.nc/pages/pep_catalogue_sensibilisation/"" target=""_blank"">https://data.gouv.nc/pages/pep_catalogue_sensibilisation/</a></p>","Environnement, Climat,Technologie, Numérique, Sciences,Agriculture, Élevage, Pêche, Alimentation,Institutions, Administrations,Énergie, Mines, Industrie,Éducation, Formation, Recherche,Santé, Social, Handicap","eau,pep,sensibilisation,economie,outils pedagogiques,outil,pedagogique,inondations,secheresse,poisson,poissons,inondation,environnement,ressource naturelle,ressources,ressource,naturelle,riviere,lac,politique de l'eau partagee",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf,fr,fr,,2023-02-03 05:22:08,false,true,2023-02-03 05:22:08,2023-02-03 05:22:08.996,,false,,,Politique de l'eau partagée en Nouvelle-Calédonie,https://eau.nc/,73,Mission Interservices de l'Eau,false,,,false
etablissements-actifs-au-ridet,Etablissements actifs au Ridet,"Ce jeu de données reprend, pour chaque établissement actif, une partie des informations diffusables contenues dans le Répertoire des entreprises et des établissements (Ridet), tenu par l’Isee. Elles sont conformes aux dernières déclarations reçues par l'Isee.<br/><p></p><p>En moyenne, 80 modifications sont enregistrées quotidiennement au répertoire.</p><p>La notice explicative contenant les définitions et le dictionnaire des variables est disponible <a href=""https://www.isee.nc/component/phocadownload/category/10-ridet?download=2006:dictionnaire-des-variables-liste-entreprises-actives"" target=""_blank"">ici</a>.</p><p>
</p>
<p>Les données sont à jour à la date figurant dans la 1ère colonne ""<b>date_etablis_actif</b>"".
</p><p><b><u>Fréquence de mise à jour du jeu de données :</u> Trimestrielle</b><br/></p>

<p>Le <a href=""https://data.gouv.nc/explore/dataset/entreprises-actives-au-ridet"" target=""_blank"">jeu de données des entreprises actives au Ridet</a> vient en complément de ce jeu de données.</p>
<div><br/></div>
<p><i><u>Note importante:</u></i></p><p> Selon l’Avis n°20185271 du 26 septembre 2019 de la CADA, le fichier Ridet est un document administratif au sens de l’article L.300-2 du code des relations entre le public et l’administration. De plus, la loi n° 2016-1321 du 7 octobre 2016 pour une République numérique, applicable en Nouvelle-Calédonie, autorise sa mise en ligne sur internet.

Pour ce faire, ce document administratif doit, au regard des mentions qu’il contient, être communicable à toute personne. Il ne pourra donc être procédé à sa publication que si son contenu respecte les secrets protégés par les articles L311-5 et L311-6 du code des relations entre le public et l'administration, et s’il satisfait aux conditions posées par le deuxième alinéa de l’article L312-1-2 du même code, aux termes duquel « Sauf dispositions législatives contraires ou si les personnes intéressées ont donné leur accord, lorsque les documents et les données mentionnés aux articles L312-1 ou L312-1-1 comportent des données à caractère personnel, ils ne peuvent être rendus publics qu'après avoir fait l'objet d'un traitement permettant de rendre impossible l'identification de ces personnes ». </p><p><i>Par ailleurs, les dispositions du décret n° 2018-1117 du 10 décembre 2018 relatif aux catégories de documents administratifs pouvant être rendus publics sans faire l'objet d'un processus d'anonymisation, insérant au code des relations entre le public et l'administration l'article D312-1-3, n'ayant pas été rendues applicables en Nouvelle Calédonie, la publication en ligne ne peut intervenir qu'après que la base Ridet a été anonymisée.</i></p><p><i>Cette base Ridet comprend en effet de nombreuses données personnelles sur les travailleurs indépendants ou ""patentés"", telles que l'adresse personnelle, le numéro de téléphone, la date de naissance etc. Or, ces éléments relèvent de la vie privée. Dès lors, ils ne peuvent être communiqués aux tiers ou diffusés en ligne sans le consentement de la personne concernée ou alors l'occultation des mentions couvertes par le secret de la vie privée.<br/>Dans le présent jeu de données, l'Isee a donc fait le choix de ne pas faire figurer les informations relatives aux travailleurs indépendants ou ""patentés"".<br/><b>
Aussi, les réutilisateurs sont informés du caractère incomplet de la base de données relative au Ridet.</b></i></p>
<p>Plus d'informations sur <a href=""https://www.isee.nc/ridet#liste-d-entreprises"" target=""_blank"">la liste nominative des entreprises et établissements actifs</a> , sur le site de l'Isee.</p><p><br/></p> ","Economy, Employment","denomination,naf,employeur,salarie,entreprise,repertoire,etablissement",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-09-14 22:02:38,false,true,2023-09-14 22:02:38,2023-09-14 22:02:38.647,fr_60_988,true,Nouvelle-Calédonie,,Institut de la statistique et des études économiques,https://www.isee.nc/ridet#liste-d-entreprises,42530,Institut de la statistique et des études économiques (ISEE),false,Collecter,Trimestrielle,false
pax-tontouta-depuis-2016,Nombre de passagers à Tontouta depuis 2016,"<p>Ce jeu de données présente le nombre mensuel de passagers à l'arrivée et au départ de l'aéroport international de Nouméa-La Tontouta, depuis 2016. </p><p><u>Colonnes:</u></p><ul><li>Mois-Année</li><li>Sens:<ul><li>A = Arrivée</li><li>D = Départ</li></ul></li><li>PAX = nombre de passagers</li></ul><p>
</p>
<p><b><u>Fréquence de mise à jour :</u> Mensuelle</b><span style=""font-weight: bolder; font-size: 0.875rem;""> </span><span style=""font-weight: bolder; font-size: 0.875rem;"">(tous les 20 du mois)</span></p>","International, Regional,Tourism","passager,avion",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-09-19 17:00:06,true,true,2023-09-19 17:00:06,2023-09-19 17:00:06.846,fr_60_988,true,Nouvelle-Calédonie,,Chambre de commerce et d'industrie de Nouvelle-Calédonie,https://www.aeroports.cci.nc/fr/tontouta,184,Chambre de commerce et d'industrie de Nouvelle-Calédonie (CCI-NC),false,,,false
gr-province-nord,GR Province Nord,"<p>
La Nouvelle-Calédonie dispose depuis plusieurs années de deux GR (Grande Randonnée) dont les renommées sont désormais bien établies !<br/>
Vous trouverez ici le tracé détaillé des étapes du GR Nord.<br/>
Ce jeu de données est géré par la <a href=""https://www.province-nord.nc/"" target=""_blank"">Province-Nord</a>.
<br/>
Pour plus d'informations:
<a href=""https://randonnees.tourismeprovincenord.nc/images/sampledata/doc/topoguide-gr-nord-v3.pdf"" target=""_blank"">Le guide du GR Nord</a> et 
<a href=""https://randonnees.tourismeprovincenord.nc/"" target=""_blank"">Le site de Tourisme Province Nord</a>
</p>","Tourisme,Art, Culture, Patrimoine","province nord,randonnee,GR,grande randonnee,sentier,parcours,pedestre",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-09-02 12:30:04,false,true,2023-09-02 12:30:04,2023-09-02 12:30:04.595,fr_60_988,true,Nouvelle-Calédonie,LineString,Province Nord,https://carto.province-nord.nc/ags/rest/services/Hosted/GR_PROVINCE_NORD/FeatureServer/0,5,Province Nord,false,,,false
arbres-remarquables0,ARBRES REMARQUABLES,"<p style=""text-align:justify;""><span style=""color:rgb(0, 0, 0);""><span style=""font-weight:bold;"">Couche des Arbres Remarquables :</span> Données issues de l’inventaire des arbres remarquables qui recense 142 sujets répondant à des critères légitimant leur identification au titre des éléments de paysage à conserver et à mettre en valeur. Les prescriptions règlementaires applicables à ces arbres sont déterminées dans le règlement du PUD, article 19 des dispositions communes.<br/></span></p><p style=""text-align:justify;""><span style=""color:rgb(0, 0, 0);"">Données présentes dans le Plan d'Urbanisme Directeur de la Ville de Nouméa.</span></p><div>Révision approuvée par délibération de l’assemblée de la province Sud
n° 2-2020/APS du 13 février 2020 <br/></div>Modification simplifiée n° 1 approuvée par délibération de l’assemblée de 
la province Sud n° 71-2021/APS du 20 octobre 2021<div>Modification n°1 approuvée par délibération de l'assemblée de la province Sud n° 8-2023/APS du 16 février 2023<br/>  <p style=""text-align:justify;""><span style=""color:rgb(0, 0, 0);""></span></p>

<p style=""text-align:justify;""><span style=""color:rgb(0, 0, 0);"">Données disponibles pour
information et sans valeur réglementaire. Pour accéder au Plan d'Urbanisme Directeur opposable aux tiers (en
PDF), consulter<a href=""https://www.noumea.nc/vivre-noumea/urbanisme/le-plan-durbanisme-directeur-pud"" rel=""nofollow ugc noopener noreferrer"" target=""_blank""> le PUD</a>.</span></p><p style=""text-align:justify;""><span style=""color:rgb(0, 0, 0);"">Pour accéder aux autres données
du PUD disponibles sur l'Opendata, consulter cette <a href=""https://data.noumea.nc/pages/plan-durbanisme-directeur"" rel=""nofollow ugc noopener noreferrer"" target=""_blank"">page</a>.</span></p><p style=""text-align:justify;""><br/></p><p style=""text-align:justify;"">CONDITIONS D'UTILISATION<br/></p><p style=""text-align:justify;""><span style=""color:rgb(0, 0, 0);""></span></p><div><span style=""color:rgb(255, 0, 0);""><span style=""font-weight:bold;"">Données disponibles pour
information et sans valeur réglementaire.</span></span></div><div><span style=""color:rgb(255, 0, 0);""><span style=""font-weight:bold;""><br/>Seul le PUD papier à
l’échelle édité par la Ville de Nouméa est opposable aux tiers.<br/></span></span></div><div><span style=""color:rgb(255, 0, 0);""><span style=""font-weight:bold;""><br/></span></span></div><div><span style=""color:rgb(255, 0, 0);""><span style=""font-weight:bold;"">Tous usages des
données du PUD de la Ville de Nouméa devront faire mention des sources et de la
date d’entrée en vigueur :</span></span></div><div style=""text-align:center;""><span style=""color:rgb(255, 0, 0);""><span style=""font-weight:bold;""><span style=""font-style:italic;""> ""PUD – Ville de Nouméa – 16/02/2023""</span><span style='font-family:""Times New Roman"";'>.</span><br/></span></span></div><div style=""text-align:center;""><span style=""color:rgb(255, 0, 0);""><span style=""font-weight:bold;""><br/></span></span></div><div><span style=""color:rgb(255, 0, 0);""><span style=""font-weight:bold;"">Tous usages des
données du PUD en vue de leurs représentations sur des supports papiers
ou informatiques par un tiers ne peut être fait qu’a titre informatif et ne
peut en aucun cas engager la responsabilité de la Ville de Nouméa.</span></span></div><p style=""text-align:justify;""><br/><span style=""color:rgb(0, 0, 0);""></span><span style=""color:rgb(255, 0, 0);""><span style=""font-style:italic;""></span></span></p></div>",geospatial,"PUD,Plan d'Urbanisme Directeur,Arbres remarquables,Patrimoine vegetal,arbre,2021",Licence Ouverte v2.0,,,,,2023-02-20 23:47:19,,,,2023-09-21 09:00:17.432,,,,,Ville de Nouméa,https://www.arcgis.com/home/item.html?id=bd092c4a648b4012a28b048affa8ec1c&sublayer=0,0,Ville de Nouméa,false,,,false
secteurselectoraux-gdb,Secteurs Electoraux,"<div style=""text-align:Left;""><p><span style='font-family:""Avenir Next W01"", ""Avenir Next W00"", ""Avenir Next"", Avenir, ""Helvetica Neue"", sans-serif; font-size:16px;'>Dernière modification enregistrée le 05/11/2021.</span></p><p><span>Secteurs des listes électorales définissant le regroupement géographique des administrés par bureau de vote, avec la contrainte d'un nombre limité de votant par bureau. </span></p><p></p><p>La thématique des élections se compose de plusieurs éléments :</p><p><span style=""text-indent:-18pt;"">-<span style='font-variant-numeric:normal; font-variant-east-asian:normal; font-stretch:normal; font-size:7pt; font-family:""Times New Roman"";'>         
</span></span><span style=""text-indent:-18pt;"">Des membres et du matériel (une urne, un
président, deux assesseurs et un secrétaire)</span></p><p><span style=""text-indent:-18pt;"">-<span style='font-variant-numeric:normal; font-variant-east-asian:normal; font-stretch:normal; font-size:7pt; font-family:""Times New Roman"";'>          </span></span><span style=""text-indent:-18pt;"">D'un lieu de vote : les <b>Bureaux de vote</b></span></p><p><span style=""text-indent:-18pt;"">-<span style='font-variant-numeric:normal; font-variant-east-asian:normal; font-stretch:normal; font-size:7pt; font-family:""Times New Roman"";'>         
</span></span><span style=""text-indent:-18pt;"">D'un périmètre géographique : les <b>Secteurs électoraux</b></span></p><p style=""text-indent:-18.0pt;""><br/></p>

<p>Le lieu de vote est l'endroit où vont se dérouler les
opérations électorales. </p>

<p>Le périmètre géographique est la ""zone"" qui est
affectée au lieu de vote. Cette zone est définie par des rues ou des parties de
rues.</p>

<p>En fonction du nombre d'habitants dans une commune, le nombre
de bureaux sera plus ou moins élevé. Cela permet de répartir les électeurs de la
commune sur différents lieux de vote afin que les opérations électorales se
déroulent le mieux possible.</p>

<p>La définition de ces lieux de vote et périmètre géographique
sont définis dans les article <b>L16</b> et <b>R40 </b>du <b>Code électoral</b> et dans le
circulaire <b>n° INTA2000661J du 16 janvier 2020</b> ayant pour objet
:<b>""Déroulement des opérations électorales lors des élections au suffrage
universel direct""</b>.</p>

<p>Ils sont définis par arrêté du représentant de l'état (le
Haut-Commissaire). En Nouvelle-Calédonie, le dernier arrêté fixant la liste des
bureaux de vote est le réf : <b>HC/DLAJ/BAJE n°2020-754 du 31 août 2020</b>. </p><p>Si une
commune de Nouvelle-Calédonie modifie un lieu de vote ou une partie du
périmètre géographique, même minime, un nouvel arrêté sera pris.</p><span></span><p></p></div>",geospatial,"election,OPENDATA,secteur",Licence Ouverte v2.0,,,,,2023-09-19 16:02:46,,,,2023-09-21 09:00:15.225,,,,,Ville de Nouméa,https://www.arcgis.com/home/item.html?id=cd08cbf8497347999c508771a134ea29&sublayer=0,0,Ville de Nouméa,false,,,false
bureauvote-gdb,Bureaux de vote,"<div style=""text-align:Left;""><p><span style='font-family:""Avenir Next W01"", ""Avenir Next W00"", ""Avenir Next"", Avenir, ""Helvetica Neue"", sans-serif; font-size:16px;'>Dernière modification enregistrée le 05/11/2021.</span></p><p>Localisation des emprises des bureaux de vote, correspondant majoritairement à des écoles, et l'hôtel de Ville.</p><p>La thématique des élections se compose de plusieurs éléments :<br/></p><p><span style=""text-indent:-18pt;"">-<span style='font-variant-numeric:normal; font-variant-east-asian:normal; font-stretch:normal; font-size:7pt; font-family:""Times New Roman"";'>          </span></span><span style=""text-indent:-18pt;"">Des membres et du matériel (une urne, un président, deux assesseurs et un secrétaire)</span></p><p><span style=""text-indent:-18pt;"">-<span style='font-variant-numeric:normal; font-variant-east-asian:normal; font-stretch:normal; font-size:7pt; font-family:""Times New Roman"";'>          </span></span><span style=""text-indent:-18pt;"">D'un lieu de vote : les <b>Bureaux de vote</b></span></p><p><span style=""text-indent:-18pt;"">-<span style='font-variant-numeric:normal; font-variant-east-asian:normal; font-stretch:normal; font-size:7pt; font-family:""Times New Roman"";'>          </span></span><span style=""text-indent:-18pt;"">D'un périmètre géographique : les <b>Secteurs électoraux</b></span></p><p style=""text-indent:-18pt;""><br/></p><p>Le lieu de vote est l'endroit où vont se dérouler les opérations électorales.</p><p>Le périmètre géographique est la ""zone"" qui est affectée au lieu de vote. Cette zone est définie par des rues ou des parties de rues.</p><p>En fonction du nombre d'habitants dans une commune, le nombre de bureaux sera plus ou moins élevé. Cela permet de répartir les électeurs de la commune sur différents lieux de vote afin que les opérations électorales se déroulent le mieux possible.</p><p>La définition de ces lieux de vote et périmètre géographique sont définis dans les article <b>L16</b> et <b>R40 </b>du <b>Code électoral</b> et dans le circulaire <b>n° INTA2000661J du 16 janvier 2020</b> ayant pour objet :<b>""Déroulement des opérations électorales lors des élections au suffrage universel direct"".</b></p><p>Ils sont définis par arrêté du représentant de l'état (le Haut-Commissaire). En Nouvelle-Calédonie, le dernier arrêté fixant la liste des bureaux de vote est le réf : <b>HC/DLAJ/BAJE n°2020-754 du 31 août 2020</b>. </p><p>Si une commune de Nouvelle-Calédonie modifie un lieu de vote ou une partie du périmètre géographique, même minime, un nouvel arrêté sera pris.</p></div>",geospatial,"Bureau Vote,Election,OPENDATA",Licence Ouverte v2.0,,,,,2023-09-19 16:02:14,,,,2023-09-21 09:00:15.325,,,,,Ville de Nouméa,https://www.arcgis.com/home/item.html?id=62ba36d5417b47c487fcd85a25509b74&sublayer=0,0,Ville de Nouméa,false,,,false
limites-de-lespace-maritime,Limites de l'espace maritime,"<div style=""text-align:justify;""><font size=""4"">Généalogie :</font></div><div style=""text-align:justify;"">Les zones provinciales ne font pas partie de l'espace maritime de la Nouvelle-Calédonie.</div><div style=""text-align:justify;"">Données issues de la limite officielle de la ZEE et de la compilation de côtes et récifs de Nouvelle-Calédonie.</div><div style=""text-align:justify;""><br/></div><div style=""text-align:justify;""><font size=""4"">Source à citer : </font>Gouvernement de la Nouvelle-Calédonie</div><div style=""text-align:justify;""><br/></div><div style=""text-align:left;""><font size=""4"">Plus d'informations :</font></div><div style=""text-align:left;"">Téléchargement des données :</div><div style=""text-align:left;""><a href=""https://georep-dtsi-sgt.opendata.arcgis.com/maps/f47fdf48f6ff49cc977b51738e5f83fb/about"" rel=""nofollow ugc noopener noreferrer"" target=""_blank"">https://georep-dtsi-sgt.opendata.arcgis.com/maps/f47fdf48f6ff49cc977b51738e5f83fb/about</a><br/></div>",geospatial,"espaces maritimes,zones economiques exclusives,zee,eaux interieures,eaux territoriales,iles eloignees,recifs,ilots,atolls,emprises,limites,zone economique exclusive,iles eloignees,recifs,delimitation,delimitation,eau,fa",Licence Ouverte v2.0,,,,,2021-10-07 00:21:23,,,,2023-09-21 09:16:50.572,,,,,Gouvernement de la Nouvelle-Calédonie,https://www.arcgis.com/home/item.html?id=f47fdf48f6ff49cc977b51738e5f83fb&sublayer=0,0,,false,,,false
ilots-en-province-sud,Ilôts en Province Sud,"<p>Ce jeu de données présente les ilôts situés en Province Sud.</p><p><b>De nombreux îlots s'offrent à vous pour un moment de détente ou un ""coup de pêche"". Attention, certains îlots sont sur des aires protégées.</b><br/>L'accès à certains îlots est réglementé par le code de l'Environnement.<br/>Ces mesures sont prises pour protéger les espèces animales et végétales qu'on y trouve.</p><p><b>Réserves naturelles intégrales :</b> Yves Merlet, récifs de Sèche-Croissant, îlot N'Digoro.<br/>L'accès en est strictement interdit. La pêche par quelque moyen que ce soit est interdite toute l'année.</p><p><b>Réserve naturelle intégrale saisonnière :</b> îlot Goéland.<br/>L'accès à l'îlot Goéland est strictement interdit du 1er octobre au 31 mars. L’utilisation d’engins motorisés et la pratique du kite-surf sont également interdites dans une zone de 200 mètres entourant l'îlot.</p><p><b>Réserves naturelles :</b> Grand Récif Aboré et passe de Boulari, Ouano (dont îlot Konduyo),  ile Leprédour, Aiguille de la baie de Prony, îlot Larégnère, îlot Signal, épave du Humbolt, îlot Bailly, Roche Percée et Baie des Tortues, île Verte, Poé.<br/>L'accès est libre.<br/>La pêche et la chasse sont strictement interdites. La collecte de plantes, d'animaux ou de minéraux est également interdite.<br/>Les activités réglementées sont précisées dans le code de l'Environnement.</p><p><b>Réserves naturelles saisonnières :</b> Grand Port, Passe de Dumbéa.<br/></p><p>Les activités dans la réserve de Grand Port sont réglementées du 1er septembre au 31 décembre. La pêche spéciale au maquereau y reste autorisée toute l'année en dehors des périmètres de la réserve de Prony et de l'aire de gestion durable de Casy.<br/>Les activités dans la passe de Dumbéa sont réglementées du 1er octobre de chaque année au 1er mars l'année suivante.</p><p><b>Aires de gestion durable des ressources :</b> îlot Canard, îlot Maître, îlot Amédée, îlot Casy, Kuendu beach, îlot Némou, îlot Moindé-Ouémié.<br/>L'accès est libre.<br/>La pêche et la chasse sont strictement interdites. La collecte de plantes, d'animaux ou de minéraux est également interdite.<br/>Les activités réglementées sont précisées dans le règlement intérieur de chaque aire protégée et dans le code de l'Environnement pour les aires ne bénéficiant pas de règlement intérieur.</p><p>Pour plus d'informations: <a href=""https://www.province-sud.nc/ilots"" target=""_blank"">https://www.province-sud.nc/ilots</a></p><p></p>","Environment, Climate,Youth, Sports, Leisure,Tourism","ilot,peche,detente,reserve,nature",Licence Ouverte v2.0,https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf,fr,fr,,2023-09-21 09:01:20,true,true,2023-09-21 09:01:20,2023-09-21 09:01:20.232,world,true,World,Point,Province Sud,https://www.province-sud.nc/swagger/?url=/pandoreweb/openapi&validatorUrl=none&docExpansion=list#/IlotDto/,202,Province Sud,false,,,false
